"SKU";"Item name";"Attribute name";"Attribute value";"GTIN";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"BRAND INSERT PAPER STYLE";"non shiny matte 230g paper weight";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"HS CODE";"94049090";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"SOURCING PRICE";"$6.15";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"PRODUCT WEIGHT";"470g";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"BRAND INSERT SIZE";"32 x 10 cm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"COLOR BOTTOM";"Beige";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"MATERIAL BOTTOM";"100% Polyester Anti-Slip";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"QUALITY BOTTOM";"120g";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"SUPPLIER";"NINGBO SUNAIR";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"ASIN";"B0DFYGPVQ5";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"EAN";"8720618522696";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"MASTER CARTON CBM";"0.1365";"8720618522696";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"barcode_type";"EAN";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"MASTER CARTON SIZE";"42.5cm 34.5cm 44.5cm";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"FBA FEE";"€6.89";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"COLOR";"white";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"MASTER CARTON WEIGHT";"5279g";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"UNITS/CRTN";"2 sets (8 units)";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"PRODUCT SIZE ";"40cm 40cm 4cm";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"PACKED SIZE";"42cm 33.5cm 21cm";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"DIM WEIGHT";"5.91";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"PACKED WEIGHT";"2240g";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"PE BAG SIZE";"42*33*5 cm";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"COLOR TOP";"Beige";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"MATERIAL TOP";"60% polyester 34% cotton 6% spandex";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"QUALITY TOP";"180gsm";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"ZIPPER STYLE";"Invisible Style";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"ZIPPER COLOR";"Beige";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"FILLING";"memory foam Inner cover: 90g 100% polyester, white";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"FILLING COLOR";"white";"8720618522689";
"MC004beige_4pack";"Eckiges Stuhlkissen - 2er / 4er Set Weiß / 4er Set";"BRAND LABEL DETAIL";"woven front + back printed";"8720618522689";
